nxny;maxIter;elapsed;total_cost
16384;200000;11.166726;72.773918
65536;200000;11.964558;271.684570
262144;200000;21.480889;605.298157
1048576;200000;101.225688;513.796143
4194304;200000;369.128438;563.591064
16777216;200000;1479.668500;562.389404
67108864;200000;5931.182000;561.203430
