nxny;maxIter;elapsed;total_cost
16384;200000;6.851438;118.609604
65536;200000;7.293940;445.655670
262144;200000;12.234001;1062.803833
1048576;200000;53.179809;977.990906
4194304;200000;192.338250;1081.623047
16777216;200000;746.479625;1114.765747
67108864;200000;2985.047500;1115.091064
