nxny;maxIter;elapsed;total_cost
16384;200;0.013342;60.910278
65536;200;0.014091;230.680908
262144;200;0.023839;545.429565
1048576;200;0.070630;736.359558
4194304;200;0.232589;894.441284
16777216;200;0.830357;1002.159790
67108864;200;3.312560;1004.842041
